SpecialSymbolsCount;WordsCount;SymbolCount;lowercase;uppercase;LastSymbolPd;FirstKeyWord;PrevElementMark;CurElementMark;NextElementMark;FullBold;FullItalic;KeepLinesTogether;KeepWithNext;NoSpaceBetweenParagraphsOfSameStyle;OutlineLevel;PageBreakBefore
4;17;103;ЛОЖЬ;ЛОЖЬ;.;;h1;c0;g1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
0;2;16;ЛОЖЬ;ИСТИНА;;PRESERVED;c0;g1;h1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;16;135;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;28;207;ЛОЖЬ;ЛОЖЬ;.;;h1;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
32;88;598;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;g1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
0;2;16;ЛОЖЬ;ИСТИНА;;PRESERVED;c0;g1;h1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;12;103;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
10;52;481;ЛОЖЬ;ЛОЖЬ;;;h1;c0;b1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
0;4;17;ЛОЖЬ;ИСТИНА;;;c0;b1;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;Level2;ЛОЖЬ
3;33;317;ЛОЖЬ;ЛОЖЬ;.;;b1;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;26;271;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;21;223;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;31;262;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;28;235;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;b1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;5;35;ЛОЖЬ;ЛОЖЬ;;TitleLevel23;b1;b23;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;Level2;ЛОЖЬ
6;27;278;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;13;112;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
0;2;16;ЛОЖЬ;ИСТИНА;;PRESERVED;d0;g1;h1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;7;69;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;11;98;ЛОЖЬ;ЛОЖЬ;.;;h1;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
6;47;422;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
5;36;292;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;b23;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
11;64;554;ЛОЖЬ;ЛОЖЬ;.;;b23;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;7;53;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;18;173;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
11;45;375;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
6;58;488;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;22;148;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
