SpecialSymbolsCount;WordsCount;SymbolCount;lowercase;uppercase;LastSymbolPd;FirstKeyWord;PrevElementMark;CurElementMark;NextElementMark;FullBold;FullItalic;Alignment;KeepLinesTogether;KeepWithNext;1Indentation;LineSpacing;NoSpaceBetweenParagraphsOfSameStyle;OutlineLevel;PageBreakBefore;RightIndentation;SpaceAfter;SpaceBefore;SpecialIndentation
1;4;31;0;0;3;2;1;3;0;0;0;3;0;1;0;1.5;0;3;0;0;0;0;-35.45
5;17;133;0;0;0;6;3;0;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;5;29;0;0;0;6;0;3;0;1;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
5;28;190;0;0;0;6;3;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;1;11;0;0;1;6;0;0;0;0;1;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;15;117;0;0;0;6;0;0;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;8;75;0;0;0;6;0;3;0;1;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;13;101;0;0;0;6;3;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;2;25;0;0;1;6;0;0;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;4;27;1;0;2;1;0;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;19;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;14;1;0;0;1;2;2;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;7;62;0;0;0;6;2;3;0;1;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;13;79;0;0;1;6;3;0;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
5;10;75;0;0;2;1;0;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;10;65;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;7;53;1;0;3;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;3;35;1;0;2;6;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;0
2;4;31;1;0;0;1;2;2;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;5;28;0;0;0;6;2;3;0;1;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;16;101;0;0;0;6;3;0;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;2;22;0;0;0;6;0;3;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
6;23;153;0;0;1;6;3;0;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;10;68;1;0;2;1;0;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;9;54;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;5;29;1;0;0;1;2;2;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;2;22;0;0;0;6;2;3;0;1;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
6;30;212;0;0;0;6;3;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
